,ROIname,Label,Lobe,Gyrus,description,SubNetwork
0,A8m_L,1,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", medial area 8,AN
1,A8m_R,2,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", medial area 8,AN
2,A8dl_L,3,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", dorsolateral area 8,AN
3,A8dl_R,4,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", dorsolateral area 8,AN
4,A9l_L,5,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", lateral area 9,AN
5,A9l_R,6,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", lateral area 9,AN
6,A6dl_L,7,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", dorsolateral area 6,AN
7,A6dl_R,8,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", dorsolateral area 6,AN
8,A6m_L,9,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", medial area 6,AN
9,A6m_R,10,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", medial area 6,AN
10,A9m_L,11,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ",medial area 9,DMN
11,A9m_R,12,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ",medial area 9,AN
12,A10m_L,13,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", medial area 10,AN
13,A10m_R,14,Frontal Lobe ,"SFG, Superior Frontal Gyrus  ", medial area 10,AN
14,A9/46d_L,15,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", dorsal area 9/46,AN
15,A9/46d_R,16,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", dorsal area 9/46,AN
16,IFJ_L,17,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", inferior frontal junction,AN
17,IFJ_R,18,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", inferior frontal junction,AN
18,A46_L,19,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", area 46,FPN
19,A46_R,20,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", area 46,FPN
20,A9/46v_L,21,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", ventral area 9/46 ,FPN
21,A9/46v_R,22,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", ventral area 9/46 ,FPN
22,A8vl_L,23,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", ventrolateral area 8,DMN
23,A8vl_R,24,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", ventrolateral area 8,DMN
24,A6vl_L,25,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", ventrolateral area 6,AN
25,A6vl_R,26,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", ventrolateral area 6,AN
26,A10l_L,27,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", lateral area10,AN
27,A10l_R,28,Frontal Lobe ,"MFG, Middle Frontal Gyrus ", lateral area10,AN
28,A44d_L,29,Frontal Lobe ,"IFG, Inferior Frontal Gyrus",dorsal area 44,AN
29,A44d_R,30,Frontal Lobe ,"IFG, Inferior Frontal Gyrus",dorsal area 44,AN
30,IFS_L,31,Frontal Lobe ,"IFG, Inferior Frontal Gyrus", inferior frontal sulcus,SMN
31,IFS_R,32,Frontal Lobe ,"IFG, Inferior Frontal Gyrus", inferior frontal sulcus,SMN
32,A45c_L,33,Frontal Lobe ,"IFG, Inferior Frontal Gyrus", caudal area 45,AN
33,A45c_R,34,Frontal Lobe ,"IFG, Inferior Frontal Gyrus", caudal area 45,AN
34,A45r_L,35,Frontal Lobe ,"IFG, Inferior Frontal Gyrus", rostral area 45,DMN
